License,Frequency
MIT,67208
Apache-2.0,22189
GPL-3,8063
AGPL-3,8036
BSD-3-Clause,7872
GPL-2,4433
BSD-2-Clause,2967
CC0-1.0,1394
LGPL-3,1310
LGPL-2.1,1053
ISC,1009
0BSD,932
LGPL-2.0,878
Unlicense,863
BSD-3-Clause-No-Nuclear-License-2014,798
MPL-2.0,712
EPL-1.0,685
MPL-2.0-no-copyleft-exception,666
AGPL-1.0,643
CC-BY-4.0,639
IPL-1.0,620
CPL-1.0,618
CC-BY-3.0,495
CC-BY-SA-4.0,494
WTFPL,459
Zlib,450
CC-BY-SA-3.0,404
Cube,395
JSON,347
BitTorrent-1.0,342
Frameworx-1.0,341
BSD-2-Clause-FreeBSD,338
deprecated_Nunit,308
CC-BY-NC-4.0,287
CC-BY-NC-SA-4.0,270
BSL-1.0,254
BSD-4-Clause,249
CC-BY-NC-3.0,234
CC-BY-NC-SA-3.0,232
CC-BY-1.0,220
BSD-3-Clause-Clear,217
Ruby,202
MS-PL,173
BSD-3-Clause-Attribution,150
MPL-1.1,123
OFL-1.1,120
CC-BY-2.0,111
OpenSSL,103
MS-RL,101
Artistic-2.0,101
Vim,100
SPL-1.0,100
CUA-OPL-1.0,100
NCSA,97
X11,95
Interbase-1.0,94
CC-BY-SA-1.0,94
SNIA,93
BSD-Source-Code,91
OLDAP-2.0.1,90
PostgreSQL,88
NOSL,85
CC-BY-NC-ND-3.0,83
CC-BY-ND-3.0,81
CC-BY-NC-2.0,78
CC-BY-SA-2.0,77
NPL-1.1,76
Beerware,76
LPL-1.0,75
CDDL-1.0,71
OSL-3.0,69
CPAL-1.0,69
CDDL-1.1,68
AFL-3.0,67
CC-BY-NC-ND-4.0,66
NPOSL-3.0,64
CC-BY-NC-1.0,64
Intel,60
CC-BY-NC-SA-2.0,59
CC-BY-2.5,59
PHP-3.01,56
PHP-3.0,54
OLDAP-2.2.1,54
CC-BY-ND-4.0,54
deprecated_GFDL-1.3,52
deprecated_GFDL-1.2,52
GFDL-1.3-or-later,52
GFDL-1.3-only,52
GFDL-1.2-or-later,52
GFDL-1.2-only,52
deprecated_StandardML-NJ,48
SMLNJ,48
Artistic-1.0-cl8,47
W3C-20150513,46
OLDAP-1.2,45
OLDAP-1.1,45
BSD-1-Clause,45
SGI-B-2.0,44
ICU,44
CC-BY-NC-SA-1.0,43
SugarCRM-1.1.3,42
CNRI-Python-GPL-Compatible,38
bzip2-1.0.6,36
Artistic-1.0,36
OLDAP-1.4,35
OLDAP-1.3,35
NBPL-1.0,35
curl,33
