name	commits
.gitignore	6
ACKNOWLEDGMENTS	2
ADOPTERS.md	2
AUTHORS	6
BUILD	6
CODEOWNERS	6
CODE_OF_CONDUCT.md	6
CONTRIBUTING.md	6
ISSUE_TEMPLATE.md	6
LICENSE	6
README.md	6
RELEASE.md	6
SECURITY.md	6
WORKSPACE	6
arm_compiler.BUILD	2
configure	6
configure.py	6
models.BUILD	2
tensorflow/.clang-format	1
tensorflow/BUILD	6
tensorflow/__init__.py	6
tensorflow/api_template.__init__.py	3
tensorflow/c/BUILD	6
tensorflow/c/c_api.cc	6
tensorflow/c/c_api.h	6
tensorflow/c/c_api_experimental.cc	6
tensorflow/c/c_api_experimental.h	6
tensorflow/c/c_api_experimental_test.cc	3
tensorflow/c/c_api_function.cc	6
tensorflow/c/c_api_function_test.cc	6
tensorflow/c/c_api_internal.h	6
tensorflow/c/c_api_test.cc	6
tensorflow/c/c_test_util.cc	6
tensorflow/c/c_test_util.h	6
tensorflow/c/checkpoint_reader.cc	6
tensorflow/c/checkpoint_reader.h	6
tensorflow/c/eager/BUILD	6
tensorflow/c/eager/c_api.cc	6
tensorflow/c/eager/c_api.h	6
tensorflow/c/eager/c_api_debug.cc	1
tensorflow/c/eager/c_api_debug_test.cc	1
tensorflow/c/eager/c_api_internal.h	6
tensorflow/c/eager/c_api_test.cc	6
tensorflow/c/eager/c_api_test_util.cc	1
tensorflow/c/eager/c_api_test_util.h	1
tensorflow/c/eager/tape.h	6
tensorflow/c/exported_symbols.lds	4
tensorflow/c/generate-pc.sh	6
tensorflow/c/python_api.cc	6
tensorflow/c/python_api.h	6
tensorflow/c/test_op.cc	1
tensorflow/c/testdata/tf_record	1
tensorflow/c/tf_status_helper.cc	2
tensorflow/c/tf_status_helper.h	3
tensorflow/c/version_script.lds	6
tensorflow/c/while_loop_test.cc	6
tensorflow/cc/BUILD	6
tensorflow/cc/client/client_session.cc	6
tensorflow/cc/client/client_session.h	6
tensorflow/cc/client/client_session_test.cc	4
tensorflow/cc/framework/cc_op_gen.cc	6
tensorflow/cc/framework/cc_op_gen.h	6
tensorflow/cc/framework/cc_op_gen_main.cc	5
tensorflow/cc/framework/cc_op_gen_test.cc	3
tensorflow/cc/framework/cc_ops_test.cc	6
tensorflow/cc/framework/grad_op_registry.cc	3
tensorflow/cc/framework/grad_op_registry.h	6
tensorflow/cc/framework/gradient_checker.cc	6
tensorflow/cc/framework/gradient_checker.h	6
tensorflow/cc/framework/gradient_checker_test.cc	6
tensorflow/cc/framework/gradients.cc	6
tensorflow/cc/framework/gradients.h	6
tensorflow/cc/framework/gradients_test.cc	6
tensorflow/cc/framework/ops.cc	5
tensorflow/cc/framework/ops.h	6
tensorflow/cc/framework/scope.cc	6
tensorflow/cc/framework/scope.h	6
tensorflow/cc/framework/scope_internal.h	6
tensorflow/cc/framework/scope_test.cc	6
tensorflow/cc/framework/test_op.cc	2
tensorflow/cc/framework/testutil.cc	6
tensorflow/cc/framework/testutil.h	6
tensorflow/cc/framework/while_gradients.cc	3
tensorflow/cc/framework/while_gradients.h	2
tensorflow/cc/framework/while_gradients_test.cc	1
tensorflow/cc/gradients/README.md	1
tensorflow/cc/gradients/array_grad.cc	6
tensorflow/cc/gradients/array_grad_test.cc	6
tensorflow/cc/gradients/data_flow_grad.cc	1
tensorflow/cc/gradients/data_flow_grad_test.cc	3
tensorflow/cc/gradients/grad_testutil.cc	2
tensorflow/cc/gradients/grad_testutil.h	6
tensorflow/cc/gradients/image_grad.cc	1
tensorflow/cc/gradients/image_grad_test.cc	1
tensorflow/cc/gradients/math_grad.cc	6
tensorflow/cc/gradients/math_grad_test.cc	6
tensorflow/cc/gradients/nn_grad.cc	6
tensorflow/cc/gradients/nn_grad_test.cc	6
tensorflow/cc/ops/const_op.cc	6
tensorflow/cc/ops/const_op.h	6
